Massnahme;Produktbezeichnung;Einheit.Produkt;Lohnkosten Fr./AE;Spezial ja/nein;Bemerkungen;;;
Aussaat Hauptkultur;Rotationsbrache Grundversion;kg;150;0;;;;
Aussaat Hauptkultur;Siala;kg;150;0;;;;
Aussaat Hauptkultur;Sommergerste, Biosaatgut ungebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Standardmischung 300 (3-jährig);kg;150;0;;;;
Aussaat Hauptkultur;Triticale;dt;150;0;;;;
Aussaat Hauptkultur;Triticale d'automne, semences non traitées;dt;150;0;;;;
Aussaat Hauptkultur;Wintergerste, Saatgut komb. Gebeizt;dt;150;0;;;;
Aussaat Hauptkultur;Winterweizen, Arina;dt;150;0;;;;
Aussaat Hauptkultur;Blé d'automne Arina;dt;150;0;;;;
Aussaat Hauptkultur;Bohnen, Busch-, Samen;kg;150;0;;;;
Aussaat Hauptkultur;Amadeo;Dose;150;0;;;;
Aussaat Hauptkultur;Luzernesaatgut;kg;150;0;;;;
Aussaat Hauptkultur;Phacelia;kg;150;0;;;;
